h                    N                 err

0,01                 28                0,214104365110826
0,001                52                0,120586476730387
0,0001               52                0,123775931773529
1E-05                52                0,124090465467572

0,01                 176               0,0107230005709406
0,001                156               0,00372191153045563
0,0001               154               0,0050522681797066
1E-05                154               0,00519249665776204

0,01                 554               0,00558258156121588
0,001                490               0,000602558494202672
0,0001               486               0,000129096760522861
1E-05                486               0,000178036996614262
